id,name,abbreviation,type,area,continent,country,gender,current,active,profile
1,World Cup,WC,international,global,,,m,1,1,
2,Africa Cup of Nations,ACN,international,regional,Africa,,m,1,0,
3,Asian Cup,ASI,international,regional,Asia,,m,1,0,
4,European Championship,EC,international,regional,Europe,,m,1,0,
5,CONCACAF Gold Cup,GC,international,regional,North America,,m,1,0,
6,Oceania Nations Cup,ONC,international,regional,Oceania,,m,1,0,
7,Copa América,CA,international,regional,South America,,m,1,0,
8,UEFA Nations League,UNL,international,regional,Europe,,m,1,0,
9,CONCACAF Nations League,CNL,international,regional,North America,,m,1,0,
10,Women's World Cup,WWC,international,global,,,f,1,0,
11,Africa Women Cup of Nations,WCN,international,regional,Africa,,f,1,0,
12,Women's Asian Cup,WAC,international,regional,Asia,,f,1,0,
13,UEFA Women's Euro,WEU,international,regional,Europe,,f,1,0,
14,CONCACAF Women's Championship,CWO,international,regional,North America,,f,1,0,
15,Copa América Femenina,CAF,international,regional,South America,,f,1,0,
16,OFC Women's Nations Cup,OWC,international,regional,Oceania,,f,1,0,
